;; A mapping for multi-word expressions that correspond to Amenities in Hotels
;; It follows the pattern of the WN->SUMO mappings
;; An explanation of synsets data format is in http://wordnet.princeton.edu/man/wndb.5WN.html. 
;; A record is of the form:
;; synset_offset  lex_filenum  ss_type  w_cnt  word  lex_id  [word  lex_id...]  p_cnt  [ptr...]  [frames...]  |   gloss &%SUMOconcept symbol(+,=) 
;; examples:
;; 00001740 03 n 01 entity 0 003 ~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000 | that which is perceived or known or inferred to have its own distinct existence (living or nonliving) &%Entity=
;; 04371430 06 n 02 swimming_trunks 0 bathing_trunks 0 002 @ 04371563 n 0000 ;u 06295235 n 0000 | swimsuit worn by men while swimming &%Clothing+
;; we also list the amenities that are already part of the WN->SUMO mapping to check them
;; Preliminary version Oct 20, 2011  Valeria de Paiva (lexicographer 99)  
;; This work is released under the GNU Public License http://www.gnu.org/copyleft/gpl.html>. 
;; Content repeated from WordNet is governed by the WordNet license 

13415547 21 n 02 hotel_plan 0 meal_plan 0 004 @ 05728678 n 0000 ~ 13415744 n 0000 ~ 13415998 n 0000 ~ 13416106 n 0000 | a plan and a room rate for providing a room and meals to guests at a hotel &%MealPlan=
03451120 06 n 01 grab_bar 0 001 @ 02788689 n 0000 | a bar attached parallel to a wall to provide a handgrip for steadying yourself &%GrabBar=
15300281 99 n 02 grecian_tub 0 greek_tub 0 000 | a combination of soaking tub and standard bath tub &%GrecianTub=
03483316 06 n 05 hand_blower 0 blow_dryer 0 blow_drier 0 hair_dryer 0 hair_drier 0 002 @ 02855089 n 0000 @ 03251766 n 0000 | a hand-held electric blower that can blow warm air onto the hair; used for styling hair &%HairDryer=
15300291 99 n 02 hotel_mini_bar 0 mini_bar 0 mini-bar 0 000 | a small refrigerator in a hotel room that contains drinks and snacks for sale &%HotelMiniBar=
15300301 99 n 02 international_direct_dial_telephone_communication 0 international_direct_call 0 000 | refers to telephone communication where there is no operator that connects origin and destination &%DirectDialTelephoneCommunication+
15300311 99 n 02 internet_connection 0 internet_availability 0 000 | channel by which a device is connected to an internet access point &%InternetConnection=
03586090 06 n 01 ironing_board 0 001 @ 02856463 n 0000 | narrow padded board on collapsible supports; used for ironing clothes &%IroningBoard=
15300321 99 n 02 ironing_service 0 laundry_service 0  000 | a service that includes the ironing of some clothing &%IroningService=
15300331 99 n 03 king_bed 0 king_sized_bed 0 california_king_bed 0 000 | is a type of bed that is big and fit for a king &%KingBed=
15300341 99 n 03 kitchen_area 0 kitchenette 0 kitchen_noon 0 000 | refers to a region, usually small either outdoors or indoors, that is intended for cooking &%KitchenArea=
15300351 99 n 01 knock_light 0 000 | type of device that flashes light when someone knocks at a door,  useful for the hearing impaired &%KnockLight=
15300361 99 n 02 laundry_service 0 clothes_washing_service 0 000 | refers to having someone washing, drying, and (possibly) ironing articles of clothing &%LaundryService=
